cpu_usage_percent,memory_usage_percent,latency_p99_ms,error_rate_percent,requests_per_second,label
24.809061,39.134594,68.62672,0.4652815,65.568184,normal
22.60743,41.79174,76.40697,0.46570456,57.68287,normal
23.666004,39.191925,65.888985,0.2092302,62.046272,normal
23.336815,38.611816,63.475525,1.0778835,69.12577,normal
26.454605,41.222446,74.05966,0.37580717,63.97479,normal
19.7312,39.10856,49.78793,1.261824,69.165794,normal
23.888361,40.484222,73.733894,0.77977896,60.941494,normal
20.811094,40.834995,47.305084,0.26757285,69.70369,normal
24.211124,41.423824,47.672283,1.342807,70.52243,normal
21.4039,40.16997,66.41435,1.0979091,65.14089,normal
23.360136,41.130013,57.00786,0.6383479,57.29383,normal
22.67413,41.03263,79.393036,0.39791343,65.633224,normal
21.08225,40.658028,65.118,0.7727479,65.70681,normal
19.390757,40.15995,59.247707,1.9517891,57.00317,normal
18.758451,38.168587,62.071445,1.4483835,66.243484,normal
16.345833,39.505157,71.438156,0.3120167,70.22467,normal
18.895891,39.754486,72.03422,0.6379392,59.167973,normal
21.35799,40.118,71.00045,1.6532974,70.21402,normal
21.886925,38.62726,82.016304,1.2189778,61.43093,normal
24.201313,38.67329,77.760155,1.6163696,64.10674,normal
19.996819,41.64735,86.70624,1.1067964,63.07497,normal
22.622978,40.456207,80.400185,1.7834036,57.875923,normal
19.941406,43.25457,62.07632,1.9311587,56.87588,normal
19.633139,38.287373,68.50729,1.5948246,57.25215,normal
19.09278,38.400932,71.09247,1.6223716,68.286766,normal
23.166864,37.66824,79.51317,1.3117641,63.897915,normal
21.879581,36.660954,51.315502,0.4054067,66.807755,normal
19.518911,40.704636,80.48518,1.3621639,62.59597,normal
20.782192,39.805073,57.076694,1.577049,65.55651,normal
28.772728,40.490116,55.406044,0.7295735,63.047356,normal
23.139866,38.13795,70.975876,1.7204027,56.029175,normal
23.811666,43.575832,75.69684,1.460327,63.383408,normal
22.590658,41.06848,60.815083,1.7585598,66.37011,normal
22.691391,38.271126,58.731934,0.015229409,69.25916,normal
20.460443,42.358192,60.03874,0.6187778,62.921875,normal
19.457333,39.896564,97.03018,1.6377947,54.732613,normal
20.234285,36.98726,73.111855,1.5610089,57.074734,normal
24.544708,41.79742,57.359245,0.8622251,62.37796,normal
18.719936,35.521152,69.53468,1.2341734,64.22285,normal
19.411886,39.336956,78.29536,1.988019,64.03089,normal
19.630884,41.862007,66.59736,1.1937194,62.940014,normal
22.304737,39.913193,67.568954,0.1045283,68.41503,normal
17.585884,39.939808,54.482517,0.26168948,66.54151,normal
20.579884,38.677002,71.4482,1.5466645,66.572876,normal
19.020391,40.672203,62.43839,0.19056429,66.96586,normal
23.34925,39.139256,77.81588,1.2676281,69.39973,normal
31.206167,40.84231,73.789314,1.7265271,55.315132,normal
16.722282,43.529106,63.44182,0.37270528,61.01166,normal
18.707287,43.233967,76.207565,1.6608739,66.94425,normal
27.250105,37.783875,72.65564,1.6018438,72.23509,normal
21.669792,37.903896,78.298225,1.4957441,56.820652,normal
21.328173,40.620552,67.48635,1.9355761,66.49446,normal
17.57291,37.866146,59.015244,0.49150229,63.59212,normal
23.227345,39.44033,50.037292,0.628486,57.30466,normal
29.33076,41.561375,75.91675,0.29704082,64.32119,normal
25.237497,43.0628,75.03051,0.8167803,66.339005,normal
15.70403,41.38218,48.890697,1.6058445,59.654587,normal
20.792606,38.760426,69.78422,1.1196759,70.526924,normal
23.329454,38.7352,89.89924,0.72077906,69.5544,normal
22.207327,39.03464,58.93563,0.54422534,70.57171,normal
24.451794,39.004833,55.524967,1.7769344,63.02273,normal
21.815983,36.118713,45.997868,0.2702294,58.730747,normal
21.980774,40.747078,47.14962,1.9568993,68.3711,normal
17.540989,41.9558,79.03065,0.3903294,67.6214,normal
10.803952,40.9739,75.550186,0.372844,64.9987,normal
22.229898,36.4862,56.544586,0.5128084,54.46853,normal
27.111097,43.535496,71.398384,1.5240628,63.448597,normal
25.289694,44.003796,53.43637,0.96854365,55.029797,normal
18.554438,37.83398,82.86017,0.89605993,68.83267,normal
18.708029,39.55701,49.946297,1.1799581,61.932026,normal
19.461159,40.15462,70.91748,0.24855039,65.67055,normal
21.882381,42.12777,61.7363,1.1943002,71.06709,normal
25.873583,39.73829,57.601105,0.08223628,51.610447,normal
21.63182,37.63426,71.03275,0.97850746,70.43653,normal
23.714191,38.47425,53.71225,0.31751925,61.915466,normal
17.969553,42.018494,44.52851,0.66106606,64.68659,normal
20.936808,42.40769,53.229824,0.9124677,68.388145,normal
24.901358,38.948856,55.440216,1.6323323,53.65359,normal
28.54333,36.809433,66.96562,0.60067457,59.794888,normal
22.934982,41.8183,72.96343,0.5098098,58.979664,normal
24.83843,42.931736,57.03326,0.058353513,61.88842,normal
26.732456,42.036797,80.19048,1.2797146,59.46534,normal
23.66772,36.960884,75.649765,1.5222802,64.55238,normal
21.525307,37.36062,61.016907,0.81969804,60.465317,normal
21.030931,41.0985,64.42614,1.3189102,62.351994,normal
22.06418,40.87597,71.96602,0.4331464,61.546803,normal
18.814167,39.81812,72.60962,1.9617795,57.19864,normal
19.589714,36.90132,69.18649,1.3181653,69.43443,normal
26.115667,41.02696,70.39338,1.6792674,70.03683,normal
17.624973,42.71599,56.783054,1.444229,75.130226,normal
26.648153,40.67403,61.29285,1.4944443,56.28939,normal
21.537388,39.55436,73.688995,0.07695252,67.370766,normal
22.83381,38.797493,58.794487,0.9316498,59.744564,normal
23.258516,42.311584,59.996822,0.30773658,66.58394,normal
22.400343,42.119373,61.288002,1.0583469,78.29874,normal
22.097633,40.127003,55.54451,1.9835085,59.79128,normal
17.930649,39.7869,74.96926,1.9775764,60.84354,normal
16.347614,39.481056,65.77095,1.3641688,68.38932,normal
22.803877,41.19526,78.38959,0.7451039,68.10227,normal
17.38593,37.98104,68.9341,0.94004595,67.50157,normal
22.796247,43.349483,49.667564,1.132738,58.75322,normal
21.039463,42.112274,49.24265,1.9819394,72.30163,normal
13.070304,41.89467,62.442356,0.25049603,67.593414,normal
19.362041,42.170906,45.57034,0.4687752,63.969955,normal
24.733776,38.916218,67.81586,0.2693509,61.74036,normal
18.41007,34.91775,77.648155,1.1871965,68.95563,normal
22.272924,37.505283,72.440025,0.34754726,64.73398,normal
19.264929,40.477783,87.740814,0.5108478,70.68212,normal
22.87161,41.95801,71.269684,0.11496865,66.41595,normal
27.40988,38.688896,71.19413,0.42972958,62.04809,normal
26.469131,40.371956,59.044273,1.1282935,70.944855,normal
25.851034,39.887577,66.17667,1.0436743,64.81095,normal
23.591124,35.309296,52.894238,0.7509077,60.929382,normal
18.869692,42.451954,50.358253,1.8697023,64.614876,normal
22.968647,40.19156,52.600903,0.25242925,60.373375,normal
17.79112,38.407253,72.85805,0.9234221,65.261765,normal
23.294214,39.013256,52.070576,0.37205693,61.511395,normal
22.838694,36.580486,78.18538,0.7345609,69.45711,normal
23.09101,39.576813,55.542492,1.8581145,61.810623,normal
17.557796,38.317036,58.710007,0.91451776,64.30192,normal
22.084465,41.55553,58.67324,0.78150547,67.96137,normal
22.941385,43.948917,67.49751,0.64117426,62.19712,normal
21.694063,39.896835,62.415035,0.68631554,69.128525,normal
21.40534,41.26373,77.610245,1.2349882,59.943817,normal
22.914291,38.440952,52.19506,0.52839404,60.099964,normal
20.979456,38.259926,54.72893,1.1368228,56.418266,normal
23.628347,43.24023,54.13545,1.1172923,74.51664,normal
23.32949,44.01248,54.414494,1.8495378,68.02097,normal
26.803688,37.71357,71.17753,1.9273121,65.295525,normal
24.1358,40.33453,69.381226,0.6369756,59.0972,normal
19.630144,41.336887,68.242744,1.6060581,64.36754,normal
20.450624,38.574745,64.00464,0.41503063,66.22321,normal
24.666021,40.74684,61.783833,1.4980037,72.11215,normal
19.502699,36.324764,69.91753,1.7518725,62.71297,normal
21.560253,40.664753,73.167946,1.405764,62.264194,normal
25.435154,41.339058,74.958664,1.6113683,57.70459,normal
26.32638,38.30937,57.793377,1.7162672,64.39572,normal
23.82733,44.28922,89.07631,0.5199935,60.519245,normal
23.68273,40.609917,70.1704,0.102511324,60.170444,normal
25.728735,38.1852,50.922573,0.40362304,69.537834,normal
29.163895,38.151505,51.564613,1.2776874,68.64667,normal
15.920198,42.14637,56.182106,1.4771396,66.56231,normal
20.582376,43.590336,51.06836,0.33945608,61.05286,normal
22.710636,39.624,63.157528,0.31562528,72.00223,normal
19.901966,39.16077,67.80119,1.1382475,59.25795,normal
25.325361,41.720604,61.76774,1.6638154,67.15833,normal
18.240767,40.817272,78.43839,1.3701105,66.671776,normal
13.940856,35.608475,50.34212,0.2403383,57.87816,normal
26.05908,42.737553,39.09927,0.23350495,67.946365,normal
22.088327,38.568848,45.619377,0.30350003,63.86581,normal
24.267832,39.091724,71.697014,0.11163545,53.909504,normal
21.441475,41.154972,43.192104,0.70961136,64.38179,normal
19.572884,36.751335,69.431366,0.9115265,62.57209,normal
20.367908,39.594437,68.098335,0.8755142,65.59846,normal
18.065327,45.525047,71.92187,0.6798092,71.48924,normal
21.258684,37.128727,62.921955,1.802418,59.86981,normal
23.881489,40.251717,58.41582,1.493624,61.226032,normal
22.959412,37.82801,59.200302,1.1125512,72.71994,normal
20.983578,37.04554,59.058704,1.8455846,66.808556,normal
25.858095,44.25382,57.36868,1.1004231,65.93537,normal
22.941227,40.366478,59.688713,0.24025649,60.06856,normal
23.257872,38.08838,68.15432,0.11983111,75.784,normal
23.252527,38.983173,66.256905,1.6250696,70.10361,normal
21.552212,35.92708,63.345116,0.9951388,66.20717,normal
22.99949,36.397373,55.935146,1.7066847,61.057926,normal
22.102922,32.798744,68.64268,1.1312228,56.70149,normal
23.866282,37.935066,92.08513,0.9691338,71.80597,normal
23.204243,39.859,57.70768,0.34731314,61.74422,normal
22.146246,38.95837,69.384865,1.7071292,73.97756,normal
19.921648,38.912918,62.59745,0.54125756,62.867664,normal
23.512419,43.906773,64.01697,0.5220889,67.386536,normal
25.55927,38.904648,53.52176,0.42330852,74.43001,normal
22.548426,43.009434,68.322044,0.81189096,66.3482,normal
23.417402,40.432632,63.54374,1.6853471,64.73614,normal
28.874352,35.307972,74.44142,1.2352928,64.07237,normal
19.040638,37.02597,77.174385,1.9041196,62.787655,normal
27.26332,42.07422,69.638245,0.92067575,64.55557,normal
20.88878,39.363842,75.516136,0.95025545,61.489582,normal
22.474112,40.804882,73.952446,1.1915538,65.32824,normal
24.75038,38.427467,66.40109,1.6803763,62.312885,normal
23.0566,38.622505,59.830906,0.03485821,67.29148,normal
25.800802,38.784557,59.742104,1.7170719,67.491806,normal
22.782578,39.66976,55.45325,1.8371893,56.22435,normal
22.6912,39.73347,63.56431,0.72645813,68.65814,normal
21.474022,42.01871,68.90851,0.22419605,63.410416,normal
17.693508,38.53852,67.02567,0.7188274,60.70873,normal
16.532307,41.0404,61.89907,0.099044055,63.147114,normal
14.478681,43.097187,55.338898,0.20803028,61.00365,normal
23.011446,37.99646,79.304596,0.799867,63.958874,normal
21.91334,39.95931,55.57918,0.98208314,67.94725,normal
18.755943,37.408043,60.374355,1.1483428,65.9284,normal
21.95955,40.609894,57.47603,1.7165014,65.92451,normal
21.373032,41.32102,64.87232,1.6805178,62.439323,normal
18.05457,39.33998,64.22723,1.8333842,62.016445,normal
23.818283,38.969395,67.21065,0.47841537,62.402607,normal
23.334518,35.569405,67.28511,0.758288,70.58337,normal
23.895056,43.096287,66.53903,0.17017823,60.54845,normal
18.943363,42.064327,67.80558,1.8257558,61.902325,normal
21.664127,40.553238,63.843178,1.4848249,62.187817,normal
23.137663,41.843826,69.573044,0.51164216,62.321045,normal
15.59426,35.558636,67.26487,1.6873486,51.37566,normal
18.214798,43.898815,59.25117,1.3517792,62.55461,normal
26.455353,39.12401,60.441402,1.6580808,56.968464,normal
27.132553,40.398384,45.28137,1.7141633,55.80655,normal
17.314274,38.146957,67.48608,0.60931593,73.74734,normal
19.854,39.08912,49.321117,1.5901353,72.58792,normal
19.032692,39.46095,65.75197,1.5745075,60.923363,normal
21.5789,42.66749,62.29221,1.3672708,65.873375,normal
17.421602,38.827263,86.75684,0.6411729,51.870293,normal
22.105637,40.2021,67.871704,1.5354228,72.50917,normal
18.903887,39.775223,85.17348,0.57540447,66.82981,normal
20.049303,44.812225,66.77305,0.42651013,55.16997,normal
18.222662,41.945698,56.758465,1.6838506,55.604668,normal
24.600302,42.76335,67.92391,1.889439,57.758068,normal
20.170784,38.55459,50.84858,0.96215266,67.61557,normal
18.142525,41.371964,67.470505,0.96405125,68.98263,normal
22.692,40.271954,68.56586,0.08732531,62.911095,normal
22.411219,40.493607,82.71366,0.6384608,67.08019,normal
22.417929,37.16373,64.767914,0.018166654,69.34572,normal
26.657558,39.058125,75.41367,1.6699439,55.706,normal
20.046844,40.05088,51.586086,0.9391314,58.76706,normal
22.631405,36.45717,58.91448,1.3030143,58.997066,normal
26.824875,38.63251,71.97803,1.5156353,66.99065,normal
24.862402,39.555466,65.59954,1.8404336,60.16433,normal
24.77329,38.008923,74.17094,1.2593111,58.621437,normal
